0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"[-0.0, 0.0, 0.2591704726219177]","[-0.02888958714902401, 0.004272046498954296, 0.2456785887479782]","[-0.005580200348049402, 0.03163597360253334, 0.18640826642513275]","[0.10308782756328583, 0.04305195435881615, 0.055839911103248596]","[0.005531006027013063, 0.010899459943175316, 0.21654260158538818]","[0.05675225704908371, 0.0422213152050972, 0.12168921530246735]","[0.15968701243400574, 0.0511762835085392, 0.0]","[-0.0587167963385582, 0.0049486178904771805, 0.29532569646835327]","[-0.16852208971977234, -0.04470374807715416, 0.40619999170303345]","[-0.2991717457771301, -0.07459709048271179, 0.5662106275558472]","[-0.31787511706352234, -0.08055363595485687, 0.6020399332046509]","[-0.13126739859580994, -0.02283736690878868, 0.3758997917175293]","[-0.06649133563041687, -0.0027385095600038767, 0.2593986690044403]","[-0.05118725448846817, 0.004052543547004461, 0.21990227699279785]","[-0.22403857111930847, -0.07148533314466476, 0.439442902803421]","[-0.10942444205284119, -0.03151492774486542, 0.2864300608634949]","[-0.059123292565345764, -0.008786248043179512, 0.22573773562908173]"
"[-0.0, 0.0, 0.27219629287719727]","[-0.031236572191119194, 0.0036038653925061226, 0.26107257604599]","[-0.010855224914848804, 0.031102333217859268, 0.20278650522232056]","[0.08929114043712616, 0.04421317204833031, 0.0806334912776947]","[0.008119018748402596, 0.010155157186090946, 0.22758233547210693]","[0.06691009551286697, 0.04162220656871796, 0.12269739806652069]","[0.1730623096227646, 0.05069983750581741, 0.0]","[-0.05823010206222534, 0.004999401513487101, 0.3091394603252411]","[-0.16701184213161469, -0.04468001425266266, 0.42007681727409363]","[-0.2949420213699341, -0.07395736128091812, 0.5760853886604309]","[-0.3131164610385895, -0.08014623820781708, 0.6113312244415283]","[-0.13252581655979156, -0.021943340077996254, 0.39255350828170776]","[-0.0718773826956749, -3.196013130946085e-05, 0.2789570391178131]","[-0.05702172964811325, 0.005832348950207233, 0.23971973359584808]","[-0.22060546278953552, -0.07159794121980667, 0.45064398646354675]","[-0.1052536591887474, -0.03150046989321709, 0.2971165180206299]","[-0.05761999636888504, -0.00934493076056242, 0.23781818151474]"
"[-0.0, 0.0, 0.281395822763443]","[-0.03213171288371086, 0.0026065560523420572, 0.27147504687309265]","[-0.022841613739728928, 0.029712684452533722, 0.21985584497451782]","[0.07284924387931824, 0.04649107903242111, 0.10653309524059296]","[0.009874023497104645, 0.009271545335650444, 0.23530347645282745]","[0.07162469625473022, 0.041446503251791, 0.12573115527629852]","[0.18200457096099854, 0.05043422803282738, 0.0]","[-0.059005919843912125, 0.004076130222529173, 0.3200113773345947]","[-0.16996325552463531, -0.046341802924871445, 0.4341645836830139]","[-0.2972656190395355, -0.07574369758367538, 0.5942118167877197]","[-0.3107530474662781, -0.08155983686447144, 0.622778058052063]","[-0.13520611822605133, -0.02306230179965496, 0.4051320254802704]","[-0.06845367699861526, -0.001154905534349382, 0.2862273156642914]","[-0.05541101098060608, 0.005014353897422552, 0.2482433021068573]","[-0.22397418320178986, -0.07392830401659012, 0.46643567085266113]","[-0.11021905392408371, -0.03430239483714104, 0.3118562698364258]","[-0.05138769373297691, -0.010474758222699165, 0.24110443890094757]"
"[-0.0, 0.0, 0.2898448407649994]","[-0.03125414997339249, 0.0021962986793369055, 0.2787156403064728]","[-0.03145556524395943, 0.027991069480776787, 0.232197567820549]","[0.05390069633722305, 0.0480780266225338, 0.13441582024097443]","[0.009415160864591599, 0.009193453937768936, 0.24315527081489563]","[0.07613751292228699, 0.04129417985677719, 0.12718407809734344]","[0.1884733885526657, 0.04964069277048111, 0.0]","[-0.059848085045814514, 0.003598152194172144, 0.3288467228412628]","[-0.17212097346782684, -0.04660665616393089, 0.4448354244232178]","[-0.2919222414493561, -0.075035460293293, 0.5966460704803467]","[-0.3083125054836273, -0.08080313354730606, 0.6288337707519531]","[-0.1397285759449005, -0.02335699275135994, 0.4164799153804779]","[-0.07268749922513962, 0.0005698724999092519, 0.29784131050109863]","[-0.05988195911049843, 0.006409330293536186, 0.2606601417064667]","[-0.2238195240497589, -0.07440444827079773, 0.47605764865875244]","[-0.1102205216884613, -0.03565855696797371, 0.32075023651123047]","[-0.051744140684604645, -0.010404388420283794, 0.2497991919517517]"
"[-0.0, 0.0, 0.2983642518520355]","[-0.03183910995721817, 0.001014099339954555, 0.2873794436454773]","[-0.043087828904390335, 0.025447186082601547, 0.2462139129638672]","[0.04078314080834389, 0.04925115033984184, 0.15713036060333252]","[0.010762511752545834, 0.008405603468418121, 0.2497885674238205]","[0.07806176692247391, 0.04104363173246384, 0.13239659368991852]","[0.19705109298229218, 0.04879569634795189, 0.0]","[-0.0603640154004097, 0.0028386004269123077, 0.33778172731399536]","[-0.17358838021755219, -0.047699082642793655, 0.454822301864624]","[-0.2938230037689209, -0.07543566823005676, 0.6075976490974426]","[-0.30894726514816284, -0.08121901005506516, 0.638585090637207]","[-0.14246973395347595, -0.023727601394057274, 0.42724937200546265]","[-0.07599450647830963, 0.0018818461103364825, 0.30961963534355164]","[-0.06424609571695328, 0.007127800025045872, 0.2734103202819824]","[-0.22359533607959747, -0.07585069537162781, 0.4850306510925293]","[-0.11043408513069153, -0.03727315366268158, 0.32953983545303345]","[-0.05203656107187271, -0.011369273066520691, 0.2582501769065857]"
"[-0.0, 0.0, 0.3174159526824951]","[-0.03525238111615181, -0.0005545224994421005, 0.3078676164150238]","[-0.053929444402456284, 0.022848716005682945, 0.26846203207969666]","[0.027998778969049454, 0.051804449409246445, 0.18658147752285004]","[0.010646667331457138, 0.008423984982073307, 0.26705461740493774]","[0.08703674376010895, 0.042849160730838776, 0.1369924247264862]","[0.21443170309066772, 0.04961667209863663, 0.0]","[-0.06461334228515625, 0.000746379024349153, 0.35900694131851196]","[-0.17985522747039795, -0.0505630187690258, 0.479095995426178]","[-0.29503700137138367, -0.07651329040527344, 0.6304011344909668]","[-0.3085102438926697, -0.08295002579689026, 0.6609453558921814]","[-0.15486200153827667, -0.0261236522346735, 0.45407623052597046]","[-0.07945959270000458, 0.00377063755877316, 0.3303634524345398]","[-0.0654381737112999, 0.009405099786818027, 0.29199883341789246]","[-0.2241096794605255, -0.0789608582854271, 0.5061328411102295]","[-0.11081970483064651, -0.040828805416822433, 0.3487686216831207]","[-0.05418688803911209, -0.012273702770471573, 0.2784920632839203]"
"[-0.0, 0.0, 0.3331320285797119]","[-0.03598248213529587, -0.0005898969830013812, 0.3222091794013977]","[-0.04265112429857254, 0.024756362661719322, 0.2749583125114441]","[0.04485229402780533, 0.0516306608915329, 0.17585480213165283]","[0.0043099974282085896, 0.011340253986418247, 0.2866637110710144]","[0.08079119771718979, 0.046543318778276443, 0.152733713388443]","[0.221584290266037, 0.05179982632398605, 0.0]","[-0.07155853509902954, -0.0010392512194812298, 0.3781743347644806]","[-0.18825475871562958, -0.051924966275691986, 0.5025951862335205]","[-0.29408740997314453, -0.07739894092082977, 0.6516565084457397]","[-0.3049846291542053, -0.08359230309724808, 0.6787012815475464]","[-0.16908569633960724, -0.026951106265187263, 0.47942695021629333]","[-0.08574359118938446, 0.007228503003716469, 0.34960314631462097]","[-0.067237488925457, 0.012267167679965496, 0.3074761927127838]","[-0.22517456114292145, -0.08028366416692734, 0.5269527435302734]","[-0.12100933492183685, -0.04703989997506142, 0.37404876947402954]","[-0.0646287202835083, -0.014470850117504597, 0.3035706877708435]"
"[-0.0, 0.0, 0.3346754014492035]","[-0.03898126259446144, -0.002739496296271682, 0.3321661353111267]","[-0.010724670253694057, 0.028341740369796753, 0.2605583369731903]","[0.0797477439045906, 0.05094161257147789, 0.1379701942205429]","[-0.0026727295480668545, 0.012796889990568161, 0.3051990866661072]","[0.06906500458717346, 0.04827252775430679, 0.17274051904678345]","[0.21770019829273224, 0.053875625133514404, 0.0]","[-0.07778381556272507, -0.002125066937878728, 0.39063823223114014]","[-0.19269707798957825, -0.05310671031475067, 0.516251802444458]","[-0.29691845178604126, -0.0786769911646843, 0.6697924137115479]","[-0.30552491545677185, -0.08526196330785751, 0.6932293176651001]","[-0.17937810719013214, -0.026524165645241737, 0.4988844096660614]","[-0.07167351990938187, 0.00694365706294775, 0.34735605120658875]","[-0.04664715752005577, 0.009483309462666512, 0.29549211263656616]","[-0.22358471155166626, -0.08154488354921341, 0.535546064376831]","[-0.1272619068622589, -0.050492338836193085, 0.3871802091598511]","[-0.0738130509853363, -0.01581278070807457, 0.31927159428596497]"
"[-0.0, 0.0, 0.3225327134132385]","[-0.037699706852436066, -0.002300684340298176, 0.3183519244194031]","[0.0011743163922801614, 0.028911167755723, 0.2397272288799286]","[0.0995853915810585, 0.04764917492866516, 0.10713842511177063]","[-0.001173767144791782, 0.012035359628498554, 0.29095813632011414]","[0.06278155744075775, 0.04708249494433403, 0.1702694147825241]","[0.2047031819820404, 0.05236215516924858, 0.0]","[-0.07741668820381165, -0.0013486804673448205, 0.37690356373786926]","[-0.19521430134773254, -0.052539583295583725, 0.5030524730682373]","[-0.3064158856868744, -0.07888247817754745, 0.6670804023742676]","[-0.31405308842658997, -0.08509152382612228, 0.6886175274848938]","[-0.17938989400863647, -0.02607293240725994, 0.48363196849823]","[-0.065452940762043, 0.005218083504587412, 0.3284915089607239]","[-0.07825427502393723, 0.011174400337040424, 0.31477856636047363]","[-0.22703473269939423, -0.08047355711460114, 0.5238649845123291]","[-0.12513671815395355, -0.046268563717603683, 0.3705384433269501]","[-0.09070434421300888, -0.021475497633218765, 0.32114091515541077]"
"[-0.0, 0.0, 0.25484520196914673]","[-0.03513092175126076, -0.004349894355982542, 0.2502041459083557]","[0.02734478749334812, 0.026146402582526207, 0.15665024518966675]","[0.15443798899650574, 0.04262131080031395, 0.010781601071357727]","[0.0011550902854651213, 0.006358854006975889, 0.22368699312210083]","[0.033218566328287125, 0.04067813977599144, 0.14904826879501343]","[0.14888635277748108, 0.04787445813417435, 0.0]","[-0.08209417760372162, -0.002729971893131733, 0.3129158318042755]","[-0.21538348495960236, -0.05399637296795845, 0.4475664496421814]","[-0.33742576837539673, -0.08000538498163223, 0.6225605010986328]","[-0.3473867177963257, -0.08604061603546143, 0.6474488973617554]","[-0.18523742258548737, -0.032901156693696976, 0.41684430837631226]","[-0.05551110953092575, -0.012883950024843216, 0.2561666667461395]","[-0.03999822959303856, -0.007072129752486944, 0.21369023621082306]","[-0.25453901290893555, -0.07833249121904373, 0.47778022289276123]","[-0.15600073337554932, -0.04553741589188576, 0.32672712206840515]","[-0.1889830380678177, -0.04906247928738594, 0.3428644835948944]"
"[-0.0, 0.0, 0.28130194544792175]","[-0.026902038604021072, -0.0032982744742184877, 0.27148371934890747]","[0.061657410115003586, 0.023959968239068985, 0.1476522833108902]","[0.19661132991313934, 0.03892672061920166, 0.0]","[-0.0006956786965020001, 0.0070231202989816666, 0.2543645203113556]","[-0.004773498512804508, 0.037469297647476196, 0.21420788764953613]","[0.07118689268827438, 0.053508955985307693, 0.1057896763086319]","[-0.07207372784614563, 0.0014082140987738967, 0.33734801411628723]","[-0.20001104474067688, -0.048184603452682495, 0.4687577486038208]","[-0.3102033734321594, -0.07557973265647888, 0.6206769943237305]","[-0.31703367829322815, -0.0811629667878151, 0.639944851398468]","[-0.1640058010816574, -0.02533705160021782, 0.434742271900177]","[-0.054867614060640335, -0.005896416492760181, 0.29416847229003906]","[-0.0363924577832222, -0.003966190852224827, 0.24492987990379333]","[-0.24376556277275085, -0.07352268695831299, 0.5019053220748901]","[-0.19049163162708282, -0.05132541060447693, 0.39477264881134033]","[-0.23748834431171417, -0.06192292645573616, 0.4256953001022339]"
"[-0.0, 0.0, 0.3063364326953888]","[-0.02654699794948101, -0.0020118935499340296, 0.2978289723396301]","[0.06402471661567688, 0.022455617785453796, 0.16210627555847168]","[0.20547375082969666, 0.038814932107925415, 0.0]","[-0.00506445299834013, 0.010963423177599907, 0.2851201295852661]","[-0.014971740543842316, 0.04134386405348778, 0.2444930523633957]","[0.04741906747221947, 0.06126676872372627, 0.1536429524421692]","[-0.0672684907913208, 0.003241667291149497, 0.36232325434684753]","[-0.18136511743068695, -0.04451880604028702, 0.4861876666545868]","[-0.2824036777019501, -0.07181201875209808, 0.6259568929672241]","[-0.28545141220092773, -0.07808774709701538, 0.64101243019104]","[-0.1479456126689911, -0.017377184703946114, 0.4531574249267578]","[-0.05486523360013962, 0.0055382694117724895, 0.32106471061706543]","[-0.0369110107421875, 0.004320234525948763, 0.2726507782936096]","[-0.22516722977161407, -0.07219063490629196, 0.5197461247444153]","[-0.17955750226974487, -0.05326338857412338, 0.41976988315582275]","[-0.19779223203659058, -0.05637899786233902, 0.416949063539505]"
